## Torsion are defined with the following atomIDs:
# dihed1: ai= 21 aj= 20 ak= 19 al= 15
# dihed2: ai= 20 aj= 19 ak= 15 al= 16
# dihed3: ai= 14 aj= 13 ak= 11 al= 1
# dihed4: ai= 13 aj= 11 ak= 1 al= 2
# dihed5: ai= 6 aj= 5 ak= 28 al= 29
# dihed6: ai= 10 aj= 9 ak= 30 al= 36
# dihed7: ai= 18 aj= 17 ak= 25 al= 26
# dihed8: ai= 17 aj= 25 ak= 26 al= 27
# dihed9: ai= 15 aj= 16 ak= 22 al= 23
# dihed10: ai= 16 aj= 22 ak= 23 al= 24
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
0 -170.725  177.051  -93.929   80.519 -161.707 -143.311 -178.805   91.332  -39.382 -137.714
1  145.368   40.278 -111.693   44.674  -35.887  157.639   -2.518 -170.245   99.878  -59.855
2  154.336   34.050 -121.196   43.479 -168.077 -151.998   39.648  173.972  116.568  116.581
3 -163.223  -12.183 -138.870   45.996 -130.528 -169.558   57.421 -173.001  127.250  152.912
4 -172.812   -4.091 -135.930   47.181  167.303 -144.641    1.760 -179.475  108.198  143.761
5  171.742    7.245 -131.776   58.356 -174.565  162.623   10.649  157.031  113.374  143.834
6  170.188    4.426 -131.083   45.288 -170.393 -156.560   18.137  158.788  120.494  157.488
7  169.275   28.588 -131.080   39.638 -169.906 -162.205  -18.459 -170.939   96.029  140.562
8 -178.550   21.159 -135.865   55.518 -162.432 -156.653   47.334  156.810  105.491  140.406
9 -178.184  -99.380 -130.293   50.944 -158.383 -139.396    7.254 -179.932  109.277  148.737
10 -103.916 -128.875 -178.603  104.244 -176.868 -157.656  115.266  121.381   57.887  148.680
11 -154.327 -167.404 -114.740   40.206 -171.711 -162.970   56.195  155.163   83.899  148.827
12  178.060 -138.347 -137.391   49.707 -171.769 -151.425  123.860  136.682   81.367 -178.713
13  176.794   16.629 -118.897   23.983 -179.885 -147.414   40.160  177.136  111.897 -106.145
14  154.120   77.173 -127.503   49.239  -35.607  150.539  136.548 -157.772  104.112  -71.656
15  165.364   26.853 -128.229   43.182  -65.394  147.481   93.275  166.419  111.201  -72.341
16  166.626   27.574 -144.360   62.355  -69.444  134.002  149.944 -144.020   78.334 -178.395
17 -179.932   18.410 -146.192   51.638 -117.857  145.725   88.486  171.895  113.409  -71.615
18 -177.970    8.886 -150.467   53.991  175.333  165.320  108.341  161.637  109.987  -70.726
19  168.997   69.833 -134.363   51.544 -154.472  139.279  136.494 -147.447   83.554  -72.695
20  175.360   10.183 -150.287   52.237 -155.584  133.387   53.202  160.757  133.723 -144.825
21  158.349   71.243 -133.876   49.447 -171.631  136.563  109.940  110.465   96.621 -153.448
22  178.467   37.983 -131.090   42.056  168.179  141.851  113.410 -155.311  112.573  -79.400
23  172.034   41.566 -149.704   47.621  -33.546  143.955   45.375  151.679  126.807  -75.036
24  166.349   17.042 -160.205   66.072 -173.172  156.890   49.828  163.873   99.114  135.244
25  176.469    4.442 -153.467   70.608  179.383  147.744   68.460  154.027  105.848  172.580
26  168.722   54.414 -144.165   57.622  177.592  142.611   80.868  151.877  133.956  -92.060
27  143.365   27.733 -138.839   49.908  178.642  163.318   44.560  175.615  110.155 -124.296
28  162.503   49.567 -151.081   62.462 -170.768  148.263   72.800  157.563  112.007  -80.552
29  156.420   60.699 -135.724   53.362 -173.205  168.376   30.746  166.748  134.179 -143.829
30 -177.435   -0.068 -165.093   61.540 -165.939  156.236   49.469  160.815  108.895  155.016
31  179.468  154.072 -149.367   60.588 -158.861  148.037   64.254  159.740  116.379  -74.821
32  156.662   56.592 -141.973   45.786 -171.137  136.502   16.183 -174.597   80.575 -148.437
33 -153.505  165.167 -156.381   76.133 -177.207  132.478  122.272  -94.382   74.760  158.775
34  167.901   29.632 -154.584   59.601 -157.313  142.612   68.267  159.333   96.729  135.229
35  170.135   36.086 -159.236   54.839 -177.390 -141.336   67.919  112.611  129.140 -151.508
36  156.739   79.454 -142.557   59.143 -164.431 -158.092   18.935  171.912  108.564  -75.785
37  152.350   57.929 -141.643   50.057 -150.495  160.132   19.263  178.888  113.504  151.699
38 -126.671  123.621 -140.466   57.531  175.884  169.290   28.278 -167.851  117.112 -103.320
39 -163.184  138.680 -137.418   61.818 -141.438 -149.207  -45.319 -167.066   72.630  168.724
40  149.676   53.275 -149.493   62.126 -150.738 -138.109   38.468  163.038  121.532  -56.843
41  167.691   88.205 -121.921   53.611 -162.682 -142.482   32.075  169.098   39.710  156.112
42  154.176   50.931 -130.196   44.200 -172.574 -153.080   24.603  173.129  123.236 -118.759
43  154.857   38.192 -131.651   63.119 -140.327  152.431   19.832  171.489  119.278 -103.218
44  171.359    4.640 -131.653   50.380 -133.899  147.248    8.639 -167.174  119.560  -72.725
45  153.450   48.362 -121.373   49.211  165.780 -140.298   42.961  160.794  125.274 -100.069
46  160.551   50.100 -119.909   37.322 -179.409 -150.904   -9.071 -172.057   61.080  122.097
47  148.914   62.916 -123.273   39.238 -177.599 -146.231   11.166  173.219  123.530 -106.485
48  169.211   55.976 -116.388   38.783 -175.576 -162.983   44.237  159.018  117.679 -125.480
49  160.779   31.394 -121.249   43.919 -167.722 -171.615    2.121 -174.759  121.349  -53.604
50  150.100   28.652 -123.474   39.241 -171.106 -142.792   14.191  173.854  111.229  -79.938
51  175.080    2.065 -127.880   40.637  177.288 -154.357   15.774  155.461  127.524  -55.769
52  157.555   39.768 -124.711   52.421 -175.972 -153.163   11.766  176.809  114.936  -92.145
53  170.307   17.773 -118.273   36.011 -176.271 -148.221   31.076  172.448  110.860  -70.877
54  161.574   22.116 -127.021   53.690 -178.631 -155.142   19.786  173.561  120.533  -70.599
55  154.253   58.551 -107.130   28.692 -165.992 -147.586   18.888  175.818   64.781   43.634
56  172.387   29.342 -120.079   46.489 -170.957 -133.733  113.892 -167.765  113.090  -70.952
57  142.911   37.256 -122.118   48.370 -170.441 -161.080   27.394  179.177  106.090  -83.618
58  160.058   81.016 -116.706   48.730 -149.856  173.954   26.220  169.572   61.035  138.123
59  177.161    3.899 -123.542   30.494  169.046 -163.306   46.170  172.714  123.724 -102.566
60  156.139   29.757 -125.367   45.022 -158.017 -147.080   26.690 -176.799  115.424 -169.351
61 -176.597    2.670 -131.841   41.770 -163.516 -144.586   66.294  148.712  124.215 -118.311
62  152.861   51.299 -126.356   50.987 -171.480 -159.269   74.462 -161.660   66.998  138.195
63  148.358   52.653 -106.818   30.022  171.059 -144.481   -1.144 -173.343  108.545  -78.519
64  171.078   64.284 -139.007   55.335 -162.406  132.745   32.191  161.197   58.025  127.238
65  177.653   52.793 -130.542   47.923 -157.942  151.071   45.548  168.968  102.029  139.925
66  179.775  153.489 -130.172   51.373 -174.693  152.404   47.324  165.780  126.853  -75.312
67  151.677   19.711 -138.725   55.519 -174.582  139.100   16.379 -172.317  111.690  -54.488
68 -164.653  159.487 -128.083   42.942  171.686  153.598   43.827  163.203  136.767  -49.379
69  147.619   25.823 -123.069   42.318 -156.123  141.571    6.154 -177.866  111.356  -93.112
70  179.129  177.264 -133.811   50.275 -154.154  134.306   43.513  159.014  126.942  -68.885
71  154.556   63.000 -116.186   28.559 -145.494  146.491   22.144  146.975  115.106  -72.231
72 -173.688   -6.007 -125.227   31.301 -176.997  157.202   92.924  166.728  108.211  -75.259
73  130.795   76.110 -123.095   43.643 -159.370  159.913   -7.542  179.266  118.966 -107.240
74  156.155   49.052 -120.633   37.323 -151.673  138.920   12.728  164.417  120.584 -123.337
75  179.301   27.373 -139.691   41.909 -152.315  163.942   26.893  169.421  128.116  -83.325
76  169.949   10.917 -126.813   35.515 -168.967  136.245   23.637  167.648  129.353 -104.982
77  174.287 -166.506 -126.408   36.602  160.123  153.581   12.688 -171.427   66.383   75.684
78  165.149   63.621 -129.272   48.938 -169.009  139.055   22.839 -167.686  101.416  -68.537
79 -160.038  149.727 -121.143   40.565 -170.564  119.732   34.424  165.394  129.084  -73.368
80  171.033   62.179 -118.246   49.845 -146.157  120.665   35.053  174.342   97.953 -100.190
81  172.676   63.181 -137.695   41.143 -164.201  141.421   29.688  164.966  128.296  -74.966
82 -158.693  144.350 -129.775   54.000  162.385  134.723   -6.718  175.935  109.482  -80.282
83 -175.259   80.607 -122.359   42.306 -144.635  164.882   21.035  160.102   70.838   80.454
84  145.326   26.284 -134.828   40.810 -159.535  138.045   60.439  170.225  128.834  -74.095
85  164.063   23.435 -123.814   40.193  -28.738  153.809   48.823 -178.433  120.272  -85.108
86  176.598   75.905 -134.536   46.935 -168.565  147.679   57.078  164.051   53.597  134.875
87 -168.431  112.820 -124.574   44.923 -155.346  160.880   28.063  164.525  114.718  -90.785
88 -149.598  150.215 -135.841   53.243 -157.604  138.532   39.282  160.420  111.889  -81.251
89  169.631   49.894 -125.202   39.308  164.986  135.246   21.743  169.273   98.265  -77.362
90 -115.446  148.483 -123.942   45.614 -165.365  159.108   23.456  171.709  113.257  -88.633
91  169.019   21.624 -133.054   26.413 -133.668  155.014   40.614  175.041  110.830  130.342
92 -168.093 -169.522 -146.055   50.826 -157.107  140.267   29.897  164.482  144.201  -67.778
93  170.506   48.693 -132.341   61.315 -140.341  144.028    6.331 -174.912  106.343  -69.136
94 -175.346   59.625 -126.494   43.816 -170.505  156.109  127.301 -175.643  105.664  -65.153
95 -176.443  142.939 -136.465   50.860 -126.834  139.309   40.261  153.865  129.759  -50.339
96 -153.992  153.071 -137.597   62.745 -115.632  164.051   30.357  158.329  125.995  -55.090
97  167.937   62.962 -146.816   60.930 -161.797  149.774  122.216  140.825   59.293   68.849
98 -179.399  172.419 -130.692   38.748  170.458  152.793    2.212   66.279  105.075  -65.675
99 -166.222  152.287 -128.712   58.991 -159.880  146.792  -13.368   80.865  124.420  -80.150
100  168.621 -159.197 -152.292   42.827 -156.874  123.218  118.044  -57.886  129.740  -77.852
101  160.179   34.551 -132.256   45.952 -172.436  152.605   43.251  162.450  133.317  -91.951
102  167.918   38.493 -125.342   49.272 -140.821  137.045   43.303  165.459  101.975 -150.809
103  167.673   61.269 -138.597   50.578 -155.131  147.842    2.981 -171.103  129.096  -78.920
104  142.117   56.183 -122.020   45.360 -178.874 -155.610   32.423  161.772  108.337  -81.858
105  158.280   22.839 -118.371   35.189 -174.092 -150.825   30.509   69.609  130.762  -61.082
106  171.723   11.833 -129.856   50.203 -131.463  148.004   30.103  174.346  107.256  -85.450
107  152.983   28.187 -133.714   43.169  175.769  163.923   13.629  163.614  111.846  -72.412
108 -161.640  172.614 -123.592   44.442 -158.514 -143.423   45.010  166.785  111.007  -50.525
109  166.087   67.633 -142.245   65.439  169.303  146.378   20.990  176.497  107.055  -95.548
110  174.996   70.556 -138.900   48.082 -133.452  144.128   74.434  133.630   73.756  146.722
111  159.091   46.306 -140.691   56.526 -177.742  171.738   93.321 -102.114   97.332  114.861
112  152.618   27.260 -135.294   59.533 -147.275  167.259   24.481  162.873  120.584  -57.057
113  150.928   48.877 -145.533   70.386 -133.322  143.749   16.709  153.466  115.426  -75.795
114  151.317   49.050 -120.223   42.748 -146.448  153.851   20.296 -170.396  100.737  -67.149
115  142.790   57.389 -140.318   43.277  150.169  143.245  117.234  179.777   97.832  117.821
116  163.119   29.837 -125.276   51.361 -157.975  153.131   41.706  165.405  125.695 -134.614
117  149.261   56.633 -135.806   57.149 -158.675  140.503  151.919  176.559  113.705  -74.661
118  151.340   54.202 -135.659   55.854 -174.955  139.992    3.233   85.246   67.401   70.046
