   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.865        0.475
         2                   0.754        0.316
         3                   0.714        0.183
         4                   0.777        0.240
         5                   0.954        0.467
         6                   1.007        0.600
         7                   0.817        0.463
         8                   0.879        0.494
         9                   0.896        0.463
        10                   0.889        0.425
        11                   0.813        0.417
        12                   0.732        0.277
        13                   0.833        0.455
        14                   0.990        0.623
        15                   1.297        1.013
        16                   0.910        0.374
        17                   1.132        0.573
        18                   1.232        0.606
        19                   1.176        0.543
        20                   1.049        0.462
        21                   0.885        0.325
        22                   1.555        0.929
        23                   1.765        1.137
        24                   1.442        0.833
        25                   1.761        1.383
        26                   1.297        0.790
        27                   1.529        1.147
        28                   0.727        0.423
        29                   0.838        0.583
        30                   0.892        0.753
        31                   0.845        0.800
        32                   0.799        0.751
        33                   0.981        1.031
        34                   0.736        0.575
