## Torsion are defined with the following atomIDs:
# dihed1: ai= 23 aj= 22 ak= 18 al= 19
# dihed2: ai= 17 aj= 16 ak= 14 al= 1
# dihed3: ai= 16 aj= 14 ak= 1 al= 6
# dihed4: ai= 11 aj= 12 ak= 28 al= 34
# dihed5: ai= 21 aj= 20 ak= 26 al= 27
# dihed6: ai= 18 aj= 19 ak= 24 al= 25
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
0 -139.493  177.250   74.581 -124.202 -121.066   38.869
1  177.387  129.697  124.862  -96.163   26.147  144.237
2  177.757  141.262  142.737  -86.225  -20.084  117.828
3  167.229  157.118  131.456  -81.165    6.591  135.812
4  168.510  130.524  146.755  -89.063   -1.799   98.150
5  150.205  125.247  156.530  -82.495   14.167   66.754
6 -178.114  149.376  139.746 -108.074    8.616   43.761
7 -159.767  151.827  138.240  -66.760    2.128   67.272
8 -171.310  132.771  168.105  -66.458    9.462   74.020
9  159.182  148.138  173.874  -77.705  -17.616 -103.419
10 -171.169  138.642 -176.486  -47.385  -32.798 -128.720
11  138.068  148.056  174.596  -80.545   -7.114  -74.153
12  154.532  154.807  167.920  -75.188   -8.419  -98.488
13  155.324  156.352  172.814  -85.771    5.002   64.186
14 -166.060  141.624  169.757  -96.636   -8.935  -64.859
15 -173.873  148.237  163.758  -79.344   -1.143  -67.333
16  168.044  173.538  156.458  -85.871   52.259   67.583
17  176.991  158.415  162.833  -75.954    1.717  -69.932
18  171.568  156.612  157.807 -103.496  -36.570  -75.029
19  169.217  156.675  162.975  -70.537  -19.695  -85.395
20  178.808  139.345  177.066  -80.024  -24.961  -72.941
21  163.855  144.624  178.429  -79.047  -40.392  -85.338
22  179.960  141.308  179.002  -72.471  -32.136  -35.200
23 -178.513  152.483  156.569  -76.749   13.651 -100.183
24  172.006  142.379  174.503  -91.002  -16.167  -66.997
25  143.253  166.232  165.829  -88.229  -20.421  -99.655
26 -169.793  144.856  171.489  -79.817    2.733 -146.466
27  172.280  168.100  174.840  -80.400  -15.439  173.772
28  179.632  159.669  167.648  -75.929  -35.342  -74.488
29  170.855  157.710  164.266  -77.567  -25.226  -67.419
30  178.342  157.730  172.778  -82.068   -6.746   31.574
31  173.389  154.483  174.302  -77.215  -19.626  -69.011
32  171.585  149.057 -177.612  -74.097  -12.266 -130.667
33  159.584  143.830 -179.691  -76.804   -6.037 -109.051
34 -153.655  157.943  179.559  -52.119  -31.679  -95.525
35 -167.958  147.374 -176.950  -63.277   -4.934 -114.987
36 -171.805  149.974  170.208  -68.355  -22.006  -59.296
37  178.224  145.451  177.585  -69.772  -27.901  -59.791
38 -168.315  152.278  179.723  -77.380  -31.188 -137.851
39 -175.329  160.149 -178.287  -81.438   25.475 -156.425
40 -170.842  150.508  170.817  -84.549  -11.505 -121.893
41 -175.408  131.782 -179.688  -63.988   -9.338 -133.826
42  179.982  140.844 -177.536  -69.476  -45.315 -128.983
43  176.774  145.867  169.473  -66.729  -26.068 -105.201
44  150.682  165.543  165.162  -66.921   -1.603 -112.194
45  178.016  142.560  175.336  -51.266    6.800 -127.539
46  166.991  161.599  165.183  -76.639   -4.971 -121.443
47 -171.305  137.385 -171.352  -62.246  -21.491 -127.329
48 -173.891  153.550  178.122  -63.108    3.859 -125.098
49  162.417  161.927 -178.475  -84.275  -54.471  141.541
50  166.377  154.071 -176.500  -53.299  -34.436  -79.840
51 -133.014  142.061  171.991  -97.820   -6.667  -83.317
52 -168.800  154.385  177.488  -80.891   15.693  -88.228
53  171.912  136.277 -175.184  -63.643    2.040 -121.603
54 -175.782  149.151  171.627  -90.535   -4.557 -110.575
55  177.094  139.271 -171.415  -88.254    4.092  -70.238
56 -179.742  159.521 -177.013  -76.399  -47.396  -76.366
57  164.873  148.692  175.271  -76.869  -20.246 -140.765
58 -167.356  129.663  176.585  -79.122   -4.818  -88.764
59 -160.966  152.408  179.993  -72.933  -46.885 -126.186
60 -169.484  158.193  175.652  -71.818  -29.601 -107.162
61 -167.223  171.236  172.532  -82.925  -45.381 -124.163
62 -146.597  148.554 -171.320  -76.941  -36.253 -139.758
63 -174.944  140.821  178.593  -82.830   -8.482 -106.657
64  165.785  155.837  175.467  -85.620  -18.783 -107.675
65  173.412  131.647  179.700  -72.194   -0.885  -88.806
66  151.939  174.402  161.757  -75.039  -15.068  -55.600
67  167.188  173.350  163.798  -69.859  -40.704 -112.661
68 -155.812  149.842  178.642  -70.334  -35.417 -112.321
69 -160.662  142.313  177.330  -71.544    3.492  -98.396
70  162.984  135.325 -176.431  -76.340   34.519 -164.806
71  174.652  162.295  171.699  -81.582  -43.046 -123.526
72 -168.875  158.044  167.581  -71.801  -21.940 -103.450
73 -166.743  159.492  167.211  -80.330  -10.096 -100.326
74  171.369  150.540  170.610  -81.976   -7.540   42.677
75 -137.606  150.636  177.801  -69.517   -5.835   48.150
76  157.684  166.384  158.665  -84.045  -35.420  -76.526
77  179.665  148.091  169.480  -64.864  -15.312 -102.841
78 -156.442  134.846 -170.153  -70.628  -34.820  168.387
79 -173.823  142.987 -170.624  -59.663  -48.789  177.502
80 -133.536  119.491 -179.404  -64.602   31.142  111.221
81  149.965  151.015 -177.772  -65.142  -33.234  148.466
82  160.083  167.429  165.392 -108.191  -29.242 -106.450
83  175.674  163.443  153.380  -69.488   -0.977  -92.941
84 -146.744  167.491  149.220  -71.084  -19.580 -112.989
85  158.447  170.384  153.857  -59.128 -100.159  -89.388
86 -154.994  158.366  156.056  -76.613   -6.984  110.791
87  173.060  179.793  148.866  -78.397  -36.624 -114.669
88  163.678  168.080  159.133  -63.418   -1.260  -72.445
89 -177.281  176.634  141.150  -78.674  -16.702  -91.013
90 -179.988  171.525  164.084  -88.777  -21.424  -76.715
91 -152.701  128.502  166.297  -72.522   15.956  120.548
92  160.017  153.444  161.647  -87.698   -0.489  -90.147
93 -177.173  170.673  161.671  -99.325  -22.209  -89.614
94 -178.861  128.469 -175.410  -80.845  -12.408   71.651
95  177.846  154.368  177.592  -74.428   10.693   78.536
96 -150.800  139.994  169.637  -68.327  -11.553   34.206
97 -171.340  152.862  157.834  -74.761   32.213   68.504
98 -162.625  153.449  161.385  -72.120   17.378   82.387
99 -151.392  157.399  158.730  -78.347  129.179   77.616
100 -138.017  159.894  164.514  -81.793  116.977   64.417
101  168.658  146.964  168.453  -81.522   -0.410   66.751
102 -158.740  144.202  171.645  -68.015   -7.198   50.937
103 -132.421  143.330  167.986  -69.034   -2.117   46.224
104 -161.154  153.011  165.602  -66.801   17.869   89.900
105 -166.814  158.567  170.309  -82.879  -18.320   39.296
106  165.222  159.887  166.608  -85.660  -28.304   64.032
107  177.614  154.432  163.449  -79.563   32.455    4.088
108 -151.917  160.890  155.755  -83.003  -17.643  -31.317
109 -179.872  155.723 -177.511  -75.943   45.899   78.736
110 -175.392  164.290  155.332  -69.560   47.373   61.772
111 -158.421  161.251  160.595  -64.304  -13.814   81.533
112 -175.759  152.964  160.458  -72.715   46.117   71.977
113 -161.814  149.320  157.784  -70.352    7.723   25.866
114 -178.237  151.006  172.275  -92.345   30.911  -50.287
115 -172.322  148.395  171.327  -76.542   36.245  153.015
116 -157.453  145.609  163.793  -72.425   39.857   58.178
117 -160.035  145.335  167.411  -58.241  126.794   99.195
118 -157.580  156.487  177.012  -70.058  143.410   76.121
119 -172.612  147.405  164.787  -72.132    0.479   92.449
120 -158.641  155.719  152.836  -75.307   65.686   39.072
121 -178.674  141.083 -179.480  -70.164   13.242   52.912
122  177.269  149.148  174.151  -68.436  -12.669   64.795
123 -154.198  148.699  172.046  -97.878   22.384   17.851
124 -153.960  143.330  175.405  -94.354    2.847   65.083
125 -159.473  168.225  172.885  -75.052    1.662   45.070
126 -163.971  154.589  170.952  -97.791   34.762   17.632
127 -168.297  146.480 -176.221  -87.186  -12.449   62.657
128  160.911  158.411  167.083  -68.141   11.994  -98.497
129  178.189  164.046  162.731  -95.028   25.252  -98.469
130  172.485  148.833  166.262  -45.094  -14.998   25.254
131  173.706  148.048  162.243  -90.129   45.308   72.631
132 -155.181  139.899 -179.664  -78.303  -32.313   99.891
133 -174.110  151.855  172.844  -84.281  -11.661   66.014
134 -167.544  132.538 -178.138  -70.417   15.400   67.453
135 -178.837  156.667  160.685  -69.653  -14.182   82.905
136 -167.221  160.845  172.385  -68.585  -14.343   49.234
137 -162.549  142.102 -179.219  -74.189   -2.827   64.145
138 -150.662  136.293 -178.687  -78.375    2.569   62.961
139 -144.172  134.936  160.447  -63.804  -17.115  104.430
140  161.216  167.094  157.210  -79.952   -9.730 -123.602
141 -174.098  156.320  165.130  -87.177  -25.156   -0.694
142  133.626  163.355  171.018 -104.285  -52.117   -6.702
143 -105.424  155.551  173.664  -82.196  -47.222   82.301
144 -173.156  156.014  170.968  -83.305  -14.842   35.156
145 -144.213  151.485  169.183  -75.475  -20.053   62.369
146  174.278  172.272  175.459  -84.061  -51.288   64.232
147 -179.271  161.322  165.537  -74.269   23.434   37.132
148  179.435  164.525  160.156  -73.472   -9.637   45.011
149  174.860  166.562  157.984  -70.515  -24.062   78.050
150  174.525  162.273  166.383  -58.108  -22.424 -141.579
151 -154.948  144.774  172.170  -68.168   20.423   59.542
152  176.092  145.812  174.225  -66.197  -46.183   65.115
153 -143.040  156.467  161.601  -59.789  -23.308   61.067
154  157.742  174.198  151.545  -76.736  -23.970   53.170
155 -158.516  157.644  175.604  -90.554  -14.252   57.317
156  178.831  150.788  172.913  -69.627   -4.653   59.272
157 -169.568  157.231  171.978  -70.097   -0.873   13.181
158 -155.290  155.918  156.538  -73.001   84.988   25.213
159 -177.485  161.156  176.683  -78.696   -5.728   20.363
160  144.833  168.222  173.174  -85.586   -1.390   75.023
161 -173.873  152.292 -178.587  -79.152   24.783   52.136
162 -157.249  151.660  178.457  -76.703   37.756   28.155
163 -169.400  173.928  144.338  -79.774   38.680   41.697
164 -162.226  149.898  166.183  -96.283   -7.025   42.277
165  154.619  158.099  166.947  -61.784   30.448   22.603
166  167.758  150.325 -179.512  -67.599   32.728   83.164
167 -159.755  155.434 -177.395  -66.019   18.686   76.006
168 -161.150  154.655  169.746  -74.909   24.043   79.917
169 -153.692  131.765  175.628  -68.039   19.951   58.129
170  176.934  159.241  160.471  -89.778   72.008   22.441
171 -138.330  145.479  176.427  -61.422   18.353   74.899
172  178.842  152.447  179.644  -80.043  165.347   73.067
173 -175.162  153.957  172.216  -81.585   33.465   74.103
174  173.687  152.049  168.658  -81.659  -10.803   71.514
175  155.663 -178.388  145.000  -74.779  -50.744  131.173
176  152.894  161.924  165.349  -72.323  -24.799   25.824
177 -163.906  147.458 -175.839  -60.659    0.360   73.232
178  178.353  166.847  153.529  -70.915   67.559   80.661
179  173.026  152.309  179.553  -67.212    2.057   52.023
180 -177.000  139.585  160.929  -65.414    6.099   81.691
181 -130.959  164.034 -175.432  -92.001    5.111   25.122
182  172.352  147.207  175.020  -68.022   19.249   43.777
183 -164.927  152.263  166.488  -70.849    5.100   65.260
184  173.282  149.294  175.615  -74.334    3.126   11.812
185 -161.871  144.638  165.563  -65.005   36.246   65.811
186  163.556  149.353  166.937  -58.436  -11.955   85.310
187  162.929  146.917 -174.474  -66.749  -13.982   39.445
188 -157.644  148.782  170.279  -79.318   -4.124   45.952
189  168.809  148.140  168.109  -91.834  -33.661   15.412
190 -164.021  154.356  173.485  -34.632   -2.126   86.326
191  159.890  162.590 -179.269  -74.422  -45.804   51.134
192  169.419  129.576 -172.686  -66.706  -13.290   92.927
193 -177.282  154.632  161.962  -84.683   -5.937   96.730
194 -144.612  135.569 -162.354  -67.740  152.465   89.338
195  163.462  136.686 -169.990  -93.182   -0.016   79.276
196 -155.514  137.048  176.827  -76.213  151.884   92.193
197  167.517  152.932  165.508  -65.905  154.674  111.228
198  133.695  163.820  176.406 -118.443  -26.927   34.238
199  176.142  159.844  172.976  -72.879  162.063   64.460
200 -156.745  153.039  177.846  -68.672 -176.731   81.883
201 -179.110  149.921  173.256  -68.002   76.823  122.389
202 -157.542  152.469  175.407  -66.348   34.003  102.923
203 -170.387  151.452  172.975  -78.752   36.253   79.245
204  165.367  152.437  165.364  -77.345    6.467   98.277
205  174.647  152.817  179.520  -89.061   38.881   92.511
206  177.950  146.845  174.647  -67.866   43.317   91.180
207  163.898  140.528  177.616  -63.736   -2.062  126.264
208  169.452  169.608  176.334  -83.873   15.053   63.497
209  178.951  150.866  170.901  -78.407  -13.623   49.577
210 -168.152  145.680  161.955  -75.634  -29.352  102.597
211 -173.908  163.370  176.679  -87.469   11.319  135.599
212 -157.894  161.407  162.464  -71.784   20.148   59.423
213  168.151  149.964  174.212  -75.218   31.342   48.568
214  175.249  165.841  169.002  -78.174   31.475   31.957
215 -163.437  153.787  166.269  -66.717   54.050   68.216
216 -174.981  164.310 -169.961  -85.142   -4.372   79.069
217  162.202 -167.679  125.125  -67.355   55.969    3.275
218  171.233  160.558  161.121  -68.189    2.943   80.082
219  167.517  152.557 -171.531  -83.639    4.051   68.481
220  174.078  145.820  171.585  -55.822    5.064   53.662
221  153.642  163.924  173.167  -80.493   -3.500   65.920
222 -164.040  148.589  177.141  -79.220   21.941   36.906
223  172.220  145.696  172.132  -91.906   10.656   58.153
224 -146.177  157.204  158.297  -64.379   32.627   24.368
225 -135.969  138.694  166.913  -73.115   -8.224   89.350
226 -179.535  160.430  160.265  -80.358   35.067   24.165
227  167.442  156.077  173.283  -72.722  -11.879   29.318
228 -161.175  149.237  173.500  -83.534   12.238  150.373
229  179.400  130.451 -179.611  -75.077   -1.750  106.301
230 -161.364  151.288  171.865  -78.852    4.025   41.390
231 -175.321  137.246  175.228  -80.046  -18.622  112.889
232 -172.170  140.966  178.119  -64.573   10.948   69.406
233 -165.643  155.319  173.998  -76.477    1.522  101.606
234  156.650  165.577  177.321  -79.758   28.497   -5.954
235 -139.326  156.075  159.206  -94.255   29.902   50.413
236 -159.701  151.810  171.363  -64.774   32.618   67.756
237 -175.135  145.255  179.024  -67.242   52.576   74.662
238 -170.315  151.654  179.920  -69.759    4.768  142.209
239 -169.341  158.430  172.578  -69.514   -1.565   93.357
240 -166.122  161.045  165.436  -61.539   21.948   62.848
241  164.303  154.636  163.579  -68.692   45.823   16.695
242  165.035  152.407 -179.845  -79.502  -22.806   93.168
