  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.238            0      417.562       16.131      125.973
        1        0.689        5.173            0      415.130       24.742      121.711
        2        0.761        5.150            0      416.642       20.004      122.498
        3        0.760        5.090            0      419.300       37.015      127.710
        4        0.674        5.209            0      415.771       31.860      119.383
        5        0.737        5.098            0      415.944       54.024      128.383
        6        0.400        5.193            0      414.749       37.893      124.007
        7        0.632        5.233            0      422.199       35.935      124.895
        8        0.629        5.192            0      417.241       24.798      120.828
        9        0.637        5.143            0      420.032       36.669      117.258
       10        0.590        5.204            0      420.541       43.589      127.378
       11        0.658        5.255            0      416.337       60.574      121.375
       12        0.791        5.140            0      420.971       46.086      122.881
       13        0.732        5.144            0      419.235       52.333      122.947
       14        0.710        5.188            0      421.023       36.939      121.022
       15        0.778        5.269            0      419.466       46.039      127.039
       16        0.677        5.181            0      416.887       50.155      117.558
       17        0.513        5.271            0      419.210       44.175      130.500
       18        0.599        5.177            0      415.720       47.688      121.328
       19        0.701        5.196            0      415.987       66.194      121.455
       20        0.653        5.260            0      417.578       60.565      120.405
       21        0.747        5.179            0      415.774       61.230      128.077
       22        0.392        5.281            0      412.043       29.340      124.778
       23        0.364        5.247            0      414.905       28.171      120.922
       24        0.513        5.213            0      415.900       30.035      123.703
       25        0.395        5.255            0      419.217       25.480      121.381
       26        0.452        5.245            0      417.466       45.653      131.131
       27        0.271        5.213            0      415.065       40.585      122.537
       28        0.406        5.203            0      418.385       64.749      120.342
       29        0.481        5.216            0      417.253       51.815      127.121
       30        0.506        5.206            0      417.385       41.983      128.876
       31        0.348        5.247            0      422.269       40.607      124.876
       32        0.475        5.191            0      415.426       37.108      122.957
       33        0.517        5.253            0      416.271       41.160      123.311
       34        0.247        5.260            0      415.224       37.038      123.115
       35        0.511        5.232            0      417.586       40.348      118.149
       36        0.522        5.156            0      418.374       42.663      122.347
       37        0.695        5.246            0      424.803       51.912      116.915
       38        0.578        5.159            0      418.811       50.076      128.763
       39        0.592        5.228            0      418.113       34.330      122.609
       40        0.548        5.277            0      419.381       63.665      114.768
       41        0.408        5.169            0      415.245       37.350      125.302
       42        0.650        5.260            0      421.038       44.578      130.895
       43        0.593        5.216            0      415.917       53.915      125.535
       44        0.547        5.127            0      417.425       54.970      121.280
       45        0.623        5.121            0      416.203       47.619      119.326
       46        0.428        5.116            0      416.471       38.827      128.154
       47        0.418        5.153            0      414.952       33.841      117.804
       48        0.490        5.250            0      415.028       58.057      124.308
       49        0.413        5.240            0      420.209       30.050      121.752
       50        0.514        5.156            0      414.870       44.790      118.471
       51        0.705        5.129            0      418.373       36.763      125.246
       52        0.633        5.189            0      420.430       51.757      127.913
       53        0.579        5.240            0      415.585       32.926      125.002
       54        0.573        5.160            0      418.491       41.839      118.404
       55        0.620        5.192            0      418.878       42.972      123.201
       56        0.764        5.113            0      421.391       53.659      115.057
       57        0.512        5.171            0      415.641       56.778      128.761
       58        0.456        5.323            0      414.132       49.188      127.608
       59        0.500        5.261            0      419.385       41.504      124.847
       60        0.380        5.166            0      413.574       32.758      123.579
       61        0.568        5.243            0      417.068       22.253      124.577
       62        0.388        5.211            0      415.938       28.630      117.329
       63        0.669        5.182            0      423.355       49.046      119.163
       64        0.538        5.211            0      418.300       33.482      124.833
       65        0.351        5.234            0      420.446       56.589      122.271
       66        0.542        5.185            0      419.906       46.574      122.312
       67        0.552        5.289            0      422.509       59.955      126.049
       68        0.637        5.167            0      416.523       51.681      124.913
       69        0.429        5.150            0      417.289       52.038      116.541
       70        0.890        5.001            0      415.169       55.591      116.587
       71        0.817        5.045            0      414.756       64.237      129.059
       72        0.439        5.241            0      416.975       58.999      126.222
       73        0.397        5.238            0      418.856       50.702      123.162
       74        0.705        5.078            0      419.669       58.006      117.797
       75        0.470        5.172            0      414.706       57.546      124.107
       76        0.636        5.210            0      421.949       63.582      126.530
       77        0.749        5.199            0      413.120       60.511      126.929
       78        0.535        5.208            0      419.313       47.095      126.698
       79        0.482        5.116            0      414.615       70.433      119.442
       80        0.662        5.116            0      418.256       49.411      122.624
       81        0.767        5.258            0      419.085       46.911      131.404
       82        0.457        5.221            0      419.052       47.784      129.346
       83        0.436        5.222            0      415.736       50.026      122.702
       84        0.490        5.225            0      422.680       44.657      126.599
       85        0.388        5.207            0      417.222       36.022      120.061
       86        0.398        5.258            0      415.065       50.317      119.675
       87        0.426        5.172            0      417.071       71.294      114.885
       88        0.623        5.143            0      413.877       68.765      132.218
