   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.481        0.404
         2                   1.493        0.337
         3                   1.199        0.254
         4                   0.973        0.394
         5                   1.005        0.486
         6                   1.155        0.470
         7                   1.929        0.544
         8                   1.780        0.713
         9                   1.932        0.820
        10                   1.693        0.897
        11                   1.579        0.597
        12                   1.278        0.297
        13                   1.017        0.598
        14                   1.677        0.524
        15                   1.887        0.848
        16                   1.801        0.327
        17                   1.930        0.540
        18                   2.076        0.460
        19                   2.166        0.287
        20                   2.279        0.567
        21                   2.090        0.514
        22                   2.412        0.895
        23                   2.661        1.832
        24                   2.405        0.521
        25                   3.079        1.435
        26                   2.765        1.055
        27                   3.180        1.486
        28                   1.207        0.217
        29                   1.231        0.376
        30                   1.264        0.609
        31                   1.211        0.697
        32                   1.234        0.644
        33                   1.289        0.996
        34                   1.261        0.447
