## Torsion are defined with the following atomIDs:
# dihed1: ai= 13335 aj= 13334 ak= 13330 al= 13331
# dihed2: ai= 13329 aj= 13328 ak= 13326 al= 13313
# dihed3: ai= 13328 aj= 13326 ak= 13313 al= 13318
# dihed4: ai= 13323 aj= 13324 ak= 13340 al= 13341
# dihed5: ai= 13333 aj= 13332 ak= 13338 al= 13339
# dihed6: ai= 13330 aj= 13331 ak= 13336 al= 13337
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
0  -35.140 -153.722   65.931 -121.356   20.429  -92.785
1  -62.972 -120.675   71.284 -142.756   -1.095 -113.845
2  -49.839 -120.565   70.655 -160.502  -25.361 -103.320
3 -116.062 -131.035   77.919 -137.543    7.309 -100.135
4   -9.882 -131.183   72.884 -157.442   -4.583 -128.062
5 -133.509 -136.532   82.406 -152.150 -103.285 -142.598
6  -23.713 -138.368   75.021 -143.245  -12.137  -90.310
7  -52.732 -138.214   78.521 -150.164   23.635  -85.702
8  -45.774 -142.761   75.604 -160.305   24.014 -151.962
9 -113.076 -131.957   84.178 -144.311  -14.339 -127.912
10  -72.788 -129.232   66.407 -142.154   22.856 -115.156
11  -53.950 -136.144   64.551 -146.072   55.206  166.393
12   45.895 -140.634   91.978 -143.494   15.974  121.695
13 -105.360 -144.419   83.404 -152.187   18.364  154.711
14 -102.888 -136.399   73.549 -160.968   42.769 -161.991
15 -106.698 -139.778   89.658 -138.248  -10.035  -24.988
16  -72.860 -120.368   77.347 -165.894   25.286  173.114
17  -42.615 -140.857   66.064 -143.380   40.128 -102.435
18  -25.953 -130.145   73.333 -145.395   38.357 -136.058
19 -103.232 -140.953   79.345 -132.757   12.441  -22.919
20  -27.691 -114.104   75.072 -136.299   24.203 -127.338
21  -47.725 -138.116   97.857 -143.671   -0.968  142.568
22  -20.322 -163.138   62.826 -154.260  -35.641 -112.334
23  -26.181 -143.425   62.966 -148.589  -30.376 -106.229
24  -57.313 -153.484   70.782 -138.627   46.082 -178.185
25  -55.334 -143.161   83.964 -133.635   19.041 -113.554
26  -30.641 -151.208   79.782 -150.728  -53.504 -115.779
27  -21.305 -150.206   66.493 -147.013    6.316  -99.179
28  -27.425 -141.393   83.572 -138.972   -3.583 -104.876
29  -32.390 -134.521   70.474 -152.271   40.044 -123.247
30  -33.494 -148.455   79.500 -150.524   27.031  -90.234
31  -60.618 -149.463   70.578 -143.238   12.271  -97.734
32  -36.314 -134.441   88.368 -137.916    0.144  -82.031
33  -15.519 -144.844   81.546 -157.831   43.692 -125.327
34  -18.828 -144.650   67.880 -133.621   12.249  -96.708
35  -40.250 -147.250   80.566 -151.098   19.527 -175.815
36  -47.028 -146.475   70.643 -138.260   40.361 -172.204
37  -59.730 -139.714   83.953 -149.429   15.200 -141.228
38  -43.699 -132.178   77.613 -145.731   35.051  -99.800
39  -43.971 -140.214   73.703 -138.474   -7.114  152.099
40  -23.933 -130.257   70.543 -156.398  -21.009 -156.346
41  -32.510 -146.731   75.657 -146.736   51.605 -131.135
42  -50.882 -141.519   84.303 -150.040   51.197  -85.942
