  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.261            0      459.497       31.342       71.988
        1        0.416        5.360            0      466.090       18.900       75.804
        2        0.477        5.316            0      459.681       21.619       78.455
        3        0.358        5.265            0      465.486       18.384       75.474
        4        0.454        5.264            0      461.829       21.140       80.367
        5        0.334        5.370            0      465.264       30.246       78.062
        6        0.709        5.454            0      475.539       41.256       77.266
        7        0.877        5.654            0      478.789       54.549       77.361
        8        0.875        5.540            0      478.050       34.983       69.958
        9        1.049        5.692            0      479.909       33.598       75.419
       10        0.926        5.664            0      480.232       39.191       72.841
       11        1.043        5.721            0      481.757       46.407       77.231
       12        0.875        5.472            0      474.231       33.830       77.286
       13        0.962        5.416            0      468.723       44.812       80.651
       14        1.003        5.650            0      477.908       60.065       70.073
       15        1.083        5.731            0      479.010       47.201       72.106
       16        1.055        5.767            0      479.678       57.067       77.762
       17        1.143        5.803            0      482.233       38.884       66.690
       18        0.998        5.578            0      473.730       44.473       76.288
       19        1.100        5.811            0      487.382       47.294       71.451
       20        1.048        5.620            0      478.146       52.978       70.211
       21        1.104        5.650            0      481.502       35.217       65.400
       22        0.981        5.664            0      480.968       43.640       75.823
       23        0.933        5.647            0      478.359       50.265       74.393
       24        1.093        5.661            0      479.286       58.217       69.854
       25        1.019        5.609            0      482.587       38.564       70.461
       26        0.955        5.669            0      480.067       38.497       75.602
       27        0.884        5.566            0      476.668       46.267       76.980
       28        0.997        5.695            0      481.444       32.269       76.437
       29        1.043        5.767            0      482.757       52.900       74.839
       30        0.889        5.534            0      472.717       26.839       82.544
       31        0.934        5.491            0      471.369       49.409       72.962
       32        1.450        5.742            0      483.805       52.505       65.314
       33        1.062        5.589            0      479.488       38.716       68.531
       34        1.114        5.682            0      481.726       45.887       69.662
       35        1.010        5.672            0      484.876       42.760       76.079
       36        1.073        5.782            0      488.159       55.786       69.504
       37        1.320        5.725            0      478.227       57.247       70.735
       38        1.284        5.596            0      480.676       52.019       70.457
       39        1.076        5.645            0      478.177       48.885       74.225
       40        1.253        5.661            0      483.135       47.141       74.302
       41        0.987        5.605            0      475.157       36.046       73.716
       42        0.949        5.597            0      480.840       67.750       71.410
       43        1.108        5.698            0      475.880       44.068       77.668
       44        1.023        5.651            0      479.775       53.829       72.005
       45        0.933        5.501            0      468.145       42.255       75.974
       46        0.962        5.671            0      475.369       36.754       75.838
       47        1.186        5.655            0      482.802       49.056       69.890
       48        1.135        5.744            0      483.896       44.726       68.142
       49        1.053        5.566            0      480.368       38.637       73.469
       50        1.011        5.652            0      483.810       41.384       75.847
       51        1.190        5.641            0      475.998       48.444       69.999
       52        1.037        5.542            0      474.305       56.549       76.682
       53        0.978        5.530            0      469.962       55.687       78.602
       54        1.009        5.690            0      479.925       45.559       77.315
       55        0.979        5.547            0      472.172       40.347       80.162
       56        1.060        5.598            0      474.239       25.633       71.447
       57        1.029        5.726            0      479.464       41.486       74.465
       58        1.398        5.671            0      472.006       30.184       72.682
       59        0.802        5.520            0      483.804       47.054       71.448
       60        1.050        5.609            0      480.356       33.427       70.179
       61        0.939        5.632            0      478.151       49.439       78.012
       62        1.345        5.606            0      476.787       58.182       68.222
       63        1.210        5.719            0      483.826       36.830       73.402
       64        1.074        5.607            0      474.796       31.754       76.522
       65        1.094        5.633            0      475.255       40.262       72.922
       66        1.106        5.566            0      474.216       21.759       75.057
       67        1.205        5.651            0      479.093       31.745       71.291
       68        1.126        5.565            0      478.271       24.569       74.234
       69        1.149        5.700            0      483.209       22.025       74.939
       70        0.986        5.440            0      473.013       18.222       70.177
       71        0.895        5.606            0      476.196       13.186       68.550
       72        0.717        5.478            0      473.833       17.639       74.631
       73        0.791        5.460            0      471.761       31.185       67.805
       74        1.327        5.813            0      477.167       41.838       64.711
       75        1.373        5.900            0      479.451       40.946       59.842
       76        1.712        5.963            0      476.266       31.211       69.471
       77        1.840        6.018            0      478.643       34.087       73.010
       78        1.361        5.795            0      484.303       24.528       60.057
       79        1.348        5.764            0      484.812       18.871       69.179
       80        1.295        5.570            0      482.710       22.550       68.704
       81        1.465        5.836            0      480.478       26.226       75.536
       82        1.354        5.564            0      471.571       11.303       78.643
       83        1.456        5.657            0      479.111       14.093       71.485
       84        1.548        5.557            0      478.945        8.718       74.200
       85        1.300        5.573            0      480.838       29.540       74.681
       86        1.461        5.484            0      474.595       32.498       69.539
       87        1.226        5.552            0      480.567       25.276       74.070
       88        1.375        5.670            0      480.309       21.299       74.306
       89        1.421        5.603            0      478.039       26.572       69.732
       90        1.326        5.547            0      472.442       17.929       73.571
       91        1.566        5.764            0      482.992       33.025       75.400
       92        1.457        5.819            0      482.670       41.840       74.174
       93        1.594        5.873            0      483.407       39.620       71.622
       94        1.410        5.799            0      489.410       30.722       71.514
       95        1.531        5.783            0      481.508       31.289       78.408
       96        1.471        5.744            0      486.625       24.019       73.978
       97        1.446        5.616            0      478.483       28.159       75.369
       98        1.584        5.762            0      482.560       21.072       71.494
       99        1.370        5.633            0      489.591       22.950       72.536
      100        1.293        5.518            0      479.803       29.414       74.645
      101        1.316        5.454            0      481.088       23.068       78.858
      102        1.340        5.320            0      476.390       38.289       72.656
      103        1.481        5.401            0      479.168       23.184       77.204
      104        1.378        5.556            0      476.973       32.158       79.593
      105        1.349        5.410            0      478.464       33.497       73.606
      106        1.371        5.532            0      475.587       35.838       74.687
      107        1.354        5.570            0      480.076       17.263       76.661
      108        1.270        5.414            0      475.288       13.879       77.377
      109        1.395        5.653            0      482.330       20.109       73.322
      110        1.392        5.433            0      478.616       21.005       71.433
      111        1.318        5.525            0      481.318       11.559       75.358
      112        1.386        5.713            0      479.180       20.679       80.016
      113        1.348        5.599            0      485.837       26.417       73.832
      114        1.296        5.607            0      479.328       16.568       67.233
      115        1.348        5.581            0      482.336       19.650       77.218
      116        1.460        5.720            0      479.873        5.532       76.260
      117        1.393        5.649            0      485.108        5.490       74.158
      118        1.372        5.761            0      489.551       17.919       66.140
      119        1.366        5.780            0      483.584       13.509       69.435
      120        1.350        5.614            0      478.749        9.927       78.181
      121        1.379        5.569            0      480.403        6.047       72.561
      122        1.448        5.714            0      480.484       13.856       75.744
      123        1.460        5.541            0      481.046       23.837       72.824
      124        1.355        5.715            0      484.598        7.441       77.157
      125        1.429        5.549            0      476.171       13.196       83.327
      126        1.456        5.552            0      476.337        8.431       77.323
      127        1.447        5.653            0      483.341       11.785       64.338
      128        1.421        5.596            0      477.902        8.466       78.427
      129        1.364        5.593            0      480.249        8.456       74.156
      130        1.377        5.613            0      477.270        6.153       78.153
      131        1.444        5.759            0      482.631       16.121       72.138
      132        1.437        5.669            0      480.187       18.600       82.079
      133        1.400        5.667            0      482.921       19.731       71.810
      134        1.354        5.653            0      477.496       13.777       77.695
      135        1.354        5.605            0      479.943       14.459       77.493
      136        1.389        5.666            0      483.789       27.677       72.309
      137        1.246        5.522            0      480.010       19.110       75.696
      138        1.154        5.643            0      483.708       16.306       69.897
      139        1.343        5.673            0      485.552       13.663       72.668
      140        1.319        5.574            0      480.141       12.063       73.724
      141        1.500        5.646            0      480.613       42.576       69.027
      142        1.134        5.492            0      464.636       14.840       70.200
      143        1.323        5.554            0      472.859       24.259       67.082
      144        1.408        5.762            0      487.117       28.154       72.126
      145        1.199        5.358            0      473.255       20.141       71.900
      146        1.294        5.428            0      484.385       32.046       77.740
      147        1.331        5.529            0      486.960       27.531       67.265
      148        1.472        5.399            0      481.099       28.635       73.558
      149        1.281        5.410            0      485.279       24.318       72.780
      150        1.343        5.526            0      482.531       11.387       65.644
      151        1.413        5.507            0      475.074       33.564       72.851
      152        1.506        5.426            0      478.007       25.806       75.941
      153        1.597        5.493            0      485.544       30.721       64.732
      154        1.403        5.419            0      477.009       31.861       74.632
      155        1.511        5.482            0      478.013       30.553       73.470
      156        1.402        5.518            0      478.490       35.705       76.545
      157        1.543        5.532            0      475.715       30.712       76.552
      158        1.373        5.684            0      477.445       32.895       73.370
      159        1.597        5.716            0      479.257       29.444       78.258
      160        1.419        5.691            0      482.063       25.490       70.838
      161        1.592        5.590            0      474.762       29.981       76.322
      162        1.556        5.635            0      480.358       20.985       69.643
      163        1.244        5.470            0      477.024        7.997       75.886
      164        1.510        5.642            0      479.749       38.203       78.910
      165        1.612        5.654            0      482.981       28.967       75.881
      166        1.384        5.625            0      479.338       22.442       79.523
      167        1.430        5.436            0      478.781       18.607       74.146
      168        1.440        5.528            0      484.953       24.405       77.833
      169        1.354        5.595            0      481.347       34.221       76.607
      170        1.318        5.624            0      480.576       43.042       64.587
      171        1.406        5.369            0      485.613       33.707       71.386
      172        1.532        5.280            0      477.537       41.687       72.211
      173        1.725        5.269            0      480.429       42.967       67.187
      174        1.614        5.382            0      486.329       53.153       66.239
      175        1.522        5.316            0      481.775       43.902       63.949
      176        1.622        5.364            0      481.951       47.691       63.449
      177        1.379        5.383            0      481.483       46.941       70.221
      178        1.618        5.415            0      484.382       51.074       66.202
      179        1.508        5.362            0      484.711       34.880       66.683
      180        1.653        5.392            0      484.569       30.869       69.137
      181        1.823        5.421            0      490.229       35.941       63.166
      182        1.655        5.329            0      477.077       32.007       68.002
      183        1.594        5.537            0      484.014       36.348       71.324
      184        1.660        5.416            0      484.096       34.360       72.359
      185        1.910        5.331            0      482.314       35.211       66.837
      186        1.594        5.255            0      484.103       36.130       67.599
      187        1.731        5.330            0      477.110       32.261       75.449
      188        1.572        5.461            0      482.189       32.751       80.745
      189        1.675        5.530            0      484.621       43.915       69.453
      190        1.415        5.538            0      484.010       38.860       72.190
      191        1.381        5.757            0      488.197       19.043       71.696
      192        1.489        5.468            0      481.346       22.707       79.181
      193        1.572        5.494            0      477.879       26.209       81.928
      194        1.424        5.623            0      486.020       32.444       71.910
      195        1.488        5.764            0      483.731       26.008       66.237
      196        1.549        5.604            0      474.608       33.473       79.487
      197        1.572        5.748            0      478.156       31.445       76.531
      198        1.566        5.759            0      485.611       27.707       74.170
      199        1.467        5.630            0      481.021       27.908       74.226
      200        1.439        5.784            0      478.969       30.217       74.756
