   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.016        0.271
         2                   1.031        0.241
         3                   1.005        0.227
         4                   1.024        0.312
         5                   1.040        0.370
         6                   1.004        0.345
         7                   1.210        0.325
         8                   1.323        0.354
         9                   1.263        0.287
        10                   1.118        0.245
        11                   1.173        0.300
        12                   1.333        0.480
        13                   1.294        0.210
        14                   1.695        0.372
        15                   1.903        0.414
        16                   1.769        0.397
        17                   1.481        0.496
        18                   1.210        0.410
        19                   2.341        0.723
        20                   2.883        1.253
        21                   3.449        1.935
        22                   2.079        0.631
        23                   2.137        0.983
        24                   2.543        1.362
        25                   1.653        0.841
        26                   1.778        1.201
        27                   2.434        1.952
        28                   1.240        0.531
        29                   1.547        0.920
        30                   1.458        0.354
        31                   2.253        1.128
        32                   2.457        1.190
        33                   1.917        0.574
        34                   1.636        1.123
        35                   2.197        0.743
        36                   1.443        1.090
