## Torsion are defined with the following atomIDs:
# dihed1: ai= 8399 aj= 8398 ak= 8397 al= 8393
# dihed2: ai= 8398 aj= 8397 ak= 8393 al= 8394
# dihed3: ai= 8392 aj= 8391 ak= 8389 al= 8379
# dihed4: ai= 8391 aj= 8389 ak= 8379 al= 8384
# dihed5: ai= 8382 aj= 8383 ak= 8406 al= 8407
# dihed6: ai= 8386 aj= 8387 ak= 8408 al= 8414
# dihed7: ai= 8396 aj= 8395 ak= 8403 al= 8404
# dihed8: ai= 8395 aj= 8403 ak= 8404 al= 8405
# dihed9: ai= 8393 aj= 8394 ak= 8400 al= 8401
# dihed10: ai= 8394 aj= 8400 ak= 8401 al= 8402
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
0  -72.934  -72.269 -118.595  -90.247 -164.281  151.961   -3.754  161.162 -115.250   74.876
1  -68.438  -64.883 -114.937 -107.588 -164.204  140.204   12.969  152.183 -122.612  114.205
2  -58.340  -92.861 -111.239  -94.150  166.012  149.513   35.165 -106.248 -131.703   45.297
3  -80.891  -59.664 -100.572  -94.746 -150.158  132.688   -1.426  173.469 -118.663   63.568
4  -45.486  -89.721 -108.231 -103.655  174.543  145.281   -4.591  144.256 -115.806  135.194
5  -71.750  -83.394 -100.471  -96.388 -169.664  132.269   14.558  179.523 -123.957  125.586
6  -78.385  -88.924 -117.643  -92.692  -34.010  130.171   -0.260   93.471 -110.117   50.036
7  -64.583  -89.255 -120.655  -99.525   -3.804   35.204   19.319  175.731 -116.078   78.244
8 -102.991  -89.592 -106.115 -104.232   -8.036   48.057  -23.651 -156.248 -119.653   46.531
9  -47.935  -70.280 -143.896 -107.121   -7.347   60.301   15.746  154.127 -121.098  137.056
10  -67.450  -89.260 -125.446  -95.726  -20.033   54.484   23.205  146.130 -119.220  139.515
11  -74.842  -73.646 -125.138 -105.701   -5.029   63.853   14.975  171.218 -130.097  143.969
12 -103.422  -56.861 -109.448 -106.876   23.666   49.430   -2.353   73.641 -111.151   64.940
13  -92.710  -99.685  -98.157 -105.114   14.224   51.845   10.140  -88.572 -107.170   48.769
14  -67.754  -88.708 -118.343  -93.470  -13.849   46.983    0.781   76.385 -128.763  130.192
15  -47.037  -66.426 -115.905  -94.620   -1.110   51.838   11.547  171.408 -148.200  135.142
16  -74.642  -75.912 -127.504  -79.534   28.162   62.055   39.711  174.088 -136.446  140.526
17   57.153 -141.187 -118.809  -96.716    7.294   51.023   -4.157  171.612 -121.656  144.079
18   48.780 -150.587 -122.323 -113.856   -1.191   65.923   24.989  146.444 -111.808   52.868
19   59.384 -155.616 -114.115  -77.657   10.416   51.520   -8.103  176.371 -140.100  142.277
20   71.193 -139.260 -126.301 -104.527   -0.733   56.249  -10.984   88.184 -123.556  116.211
21   77.894 -129.208 -105.863  -71.825   -4.778   35.695  -33.028 -172.776 -130.474   73.778
22   60.727 -135.249 -119.395  -88.409    4.339   46.556  -12.627 -171.468 -121.669   79.901
23   60.974 -134.914 -121.215  -96.712   18.503   57.580   35.597  160.064 -102.523  107.192
24   79.205 -133.946 -127.112 -101.741   -8.754   90.133   29.872   63.569 -109.143  105.704
25   80.736 -112.493 -121.660 -109.989   -5.983   63.640   -2.862 -178.775 -127.734  103.744
26   64.505 -141.461 -126.827 -104.007   -7.046   66.401   53.624  167.500 -123.393  111.350
27   50.625 -130.209 -119.937  -97.650   -8.272   62.116    2.870  166.087 -132.672  111.628
