,,,Model 1 ,,,Model 2,,
ID,Name,Status,Exp. endpoint,Pred. by model eq.,Pred.Mod.Eq.Res.,Exp. endpoint,Pred. by model eq.,Pred.Mod.Eq.Res.
1,COC1=CC(NC(=O)C(=C\C2=CNC3=C2C=CC=C3)\C#N)=CC(OC)=C1OC,Training,4.7447,4.7829,0.0381,4.7447,4.7923,0.0476
2,COC1=CC=C2C(NC=C2C(=O)C2=CC(OC)=C(OC)C(OC)=C2)=C1,Training,5.6615,5.6415,-0.0201,5.6615,5.6401,-0.0214
3,COC1=CC=C2C(NC(C)=C2C(=O)C2=CC(OC)=C(OC)C(OC)=C2)=C1,Prediction,6.0458,5.7393,-0.3064,6.0458,5.7509,-0.2948
4,COC1=CC=C2N(C=CC2=C1N)C(=O)C1=CC(OC)=C(OC)C(OC)=C1,Prediction,6.0458,6.0908,0.0451,6.0458,6.0775,0.0318
5,COC1=CC=C2N(C(=O)C3=CC(OC)=C(OC)C(OC)=C3)C(C)=CC2=C1O,Training,6.2218,5.9876,-0.2343,6.2218,5.9518,-0.2701
6,COC1=CC(=CC(OC)=C1OC)C(=O)C1=CC2=C(C=C1)N(C)C=C2,Training,5.9586,6.065,0.1064,5.9586,6.0765,0.1179
7,COC1=CC(=CC(OC)=C1OC)C(=O)C1=C(N)C2=C(C=CC(C)=C2)N1C,Training,5,5.1223,0.1223,5,5.1002,0.1002
8,COC1=CC(=CC(OC)=C1OC)C(=O)C1=C(N)C2=C(C=C(C)C=C2)N1C,Training,5.1938,5.0727,-0.1211,5.1938,5.0922,-0.1016
9,COC1=CC(=CC(OC)=C1OC)C(=O)C1=C(N)C2=C(N1C)C(C)=CC=C2,Prediction,5.0757,5.2015,0.1258,5.0757,5.182,0.1063
10,COC1=CC2=C(C=C1)C(N)=C(N2C)C(=O)C1=CC(OC)=C(OC)C(OC)=C1,Training,5.3372,5.3054,-0.0318,5.3372,5.3005,-0.0367
11,COC1=CC(=CC(OC)=C1OC)C(=O)C1=C(N)C2=C(C=C(Cl)C=C2)N1C,Training,5.1487,5.2629,0.1142,5.1487,5.1963,0.0476
12,COC1=CC(=CC(OC)=C1OC)C(=NO)C1=CC2=C(C=C1)N(C)C=C2,Training,5.7447,5.7365,-0.0082,5.7447,5.7951,0.0504
13,COC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.5376,5.5568,0.0192,5.5376,5.5237,-0.0139
14,COC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.6021,5.6368,0.0347,5.6021,5.6877,0.0857
15,COC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Prediction,5.699,5.669,-0.03,5.699,5.7495,0.0506
16,CCOC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.5376,5.5277,-0.0099,5.5376,5.4335,-0.1041
17,CCOC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.6576,5.6023,-0.0552,5.6576,5.5809,-0.0767
18,CCOC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Training,5.6198,5.6385,0.0187,5.6198,5.6392,0.0194
19,COC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(=C2)[N+]([O-])=O,Training,5.3468,5.4939,0.1471,5.3468,5.5463,0.1995
20,COC1=CC(SC2=CNC3=C2C=CC=C3)=CC(OC)=C1OC,Training,5.585,5.3287,-0.2563,5.585,5.2942,-0.2908
21,COC1=CC(SC2=C(C)NC3=C2C=CC=C3)=CC(OC)=C1OC,Training,5.1675,5.3772,0.2098,5.1675,5.3374,0.1699
22,COC1=CC(SC2=CNC3=C2C=C(Cl)C=C3)=CC(OC)=C1OC,Prediction,5.585,5.4493,-0.1358,5.585,5.4366,-0.1484
23,COC1=CC(SC2=C(C)NC3=C2C=C(Cl)C=C3)=CC(OC)=C1OC,Training,5.5686,5.4779,-0.0908,5.5686,5.4983,-0.0703
24,COC1=CC(SC2=CNC3=C2C=C(Br)C=C3)=CC(OC)=C1OC,Training,5.7959,5.6464,-0.1495,5.7959,5.6851,-0.1107
25,COC1=CC(SC2=CNC3=C2C=C(I)C=C3)=CC(OC)=C1OC,Training,5.5686,5.7135,0.1449,5.5686,5.7091,0.1405
26,COC1=CC(SC2=CNC3=C2C=C(F)C=C3)=CC(OC)=C1OC,Prediction,5.4815,5.5076,0.0262,5.4815,5.4351,-0.0464
27,COC1=CC(SC2=CNC3=C2C=C(C)C=C3)=CC(OC)=C1OC,Prediction,5.5686,5.3893,-0.1793,5.5686,5.3878,-0.1808
28,COC1=CC2=C(NC=C2SC2=CC(OC)=C(OC)C(OC)=C2)C=C1,Training,5.3872,5.4752,0.088,5.3872,5.5303,0.1431
29,COC1=CC2=C(NC(C)=C2SC2=CC(OC)=C(OC)C(OC)=C2)C=C1,Training,5.4815,5.4691,-0.0124,5.4815,5.5622,0.0807
30,CCOC1=CC2=C(NC=C2SC2=CC(OC)=C(OC)C(OC)=C2)C=C1,Training,5.6778,5.5369,-0.1409,5.6778,5.6069,-0.0709
31,COC1=CC(SC2=CNC3=C2C=C(O)C=C3)=CC(OC)=C1OC,Training,5.2007,5.1433,-0.0574,5.2007,5.1974,-0.0033
32,COC1=CC(SC2=CNC3=C2C=C(OCCO)C=C3)=CC(OC)=C1OC,Training,5.1675,5.16,-0.0075,5.1675,5.1465,-0.0209
33,COC1=CC(=CC(OC)=C1OC)C(=O)C1=CNC2=C1C=CC=C2,Training,5.4559,5.2993,-0.1566,5.4559,5.2597,-0.1962
34,COC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.5686,5.5446,-0.0241,5.5686,5.4624,-0.1062
35,CCOC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.585,5.5092,-0.0758,5.585,5.4643,-0.1208
36,COC1=CC(=CC(OC)=C1OC)C(=O)C1=CNC2=C1C=C(Cl)C=C2,Training,5.6021,5.5289,-0.0732,5.6021,5.5253,-0.0767
37,COC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.7959,5.7339,-0.062,5.7959,5.673,-0.1229
38,CCOC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.8539,5.637,-0.2169,5.8539,5.7362,-0.1177
39,COC1=CC(CC2=CNC3=C2C=C(Cl)C=C3)=CC(OC)=C1OC,Training,4.6198,4.6729,0.0531,4.6198,4.6681,0.0483
40,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.3768,5.6327,0.256,5.3768,5.6377,0.261
41,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.2676,5.5769,0.3093,5.2676,5.5516,0.284
42,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.7696,5.8154,0.0459,5.7696,5.639,-0.1306
43,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.6021,5.7744,0.1724,5.6021,5.6075,0.0054
